country_code,companies,exit_rate,median_funding_usd,median_founders,exit_rate_pct,median_funding_m
USA,23405,0.10519119846186713,500000.0,1.0,10.519119846186713,0.5
ISR,602,0.08970099667774087,800000.0,1.0,8.970099667774086,0.8
JPN,166,0.07228915662650602,59865.0,0.0,7.228915662650602,0.059865
CAN,1356,0.0715339233038348,0.0,1.0,7.153392330383481,0.0
CHN,254,0.06299212598425197,3000000.0,0.0,6.299212598425196,3.0
DNK,156,0.057692307692307696,65752.0,1.0,5.769230769230769,0.065752
IRL,265,0.05660377358490566,339000.0,1.0,5.660377358490567,0.339
DEU,800,0.05625,0.0,1.0,5.625,0.0
GBR,2399,0.05377240516882034,0.0,1.0,5.3772405168820345,0.0
ARG,168,0.05357142857142857,0.0,2.0,5.357142857142857,0.0
AUT,113,0.05309734513274336,0.0,1.0,5.3097345132743365,0.0
NLD,340,0.052941176470588235,0.0,1.0,5.294117647058823,0.0
FRA,787,0.04701397712833545,414840.0,1.0,4.701397712833545,0.41484
CHE,215,0.046511627906976744,10000.0,1.0,4.651162790697675,0.01
BEL,152,0.046052631578947366,35323.0,1.0,4.605263157894736,0.035323
SWE,270,0.044444444444444446,237974.5,1.0,4.444444444444445,0.2379745
ITA,265,0.03773584905660377,0.0,1.0,3.7735849056603774,0.0
FIN,170,0.03529411764705882,9074.0,1.0,3.5294117647058822,0.009074
ESP,468,0.03205128205128205,97291.5,1.0,3.205128205128205,0.0972915
AUS,442,0.03167420814479638,0.0,1.0,3.167420814479638,0.0
SGP,223,0.026905829596412557,50000.0,1.0,2.690582959641256,0.05
IND,1053,0.019943019943019943,0.0,1.0,1.9943019943019942,0.0
RUS,217,0.018433179723502304,150000.0,1.0,1.8433179723502304,0.15
TUR,132,0.015151515151515152,0.0,1.0,1.5151515151515151,0.0
BRA,280,0.010714285714285714,0.0,1.0,1.0714285714285714,0.0
