segment,companies,exit_rate,median_funding_usd,median_founders,dimension,exit_rate_pct,median_funding_m
1 known founder,15882,0.06686815262561391,0.0,1.0,Team structure,6.686815262561391,0.0
2 known founders,9575,0.07101827676240209,0.0,2.0,Team structure,7.101827676240209,0.0
3+ known founders,4469,0.08614902662788096,0.0,3.0,Team structure,8.614902662788095,0.0
No known founder record,12825,0.08756335282651072,1800000.0,0.0,Team structure,8.756335282651072,1.8
At least one degree record,9032,0.08547387068201949,0.0,2.0,Education coverage,8.54738706820195,0.0
At least one elite-school record,3344,0.15400717703349281,500000.0,2.0,Education coverage,15.400717703349281,0.5
No known education record,30375,0.06462551440329219,50000.0,1.0,Education coverage,6.462551440329219,0.05
1 funding round,14735,0.07675602307431285,514640.0,0.0,Funding maturity,7.675602307431285,0.51464
2 funding rounds,5138,0.10938108213312572,3929289.5,1.0,Funding maturity,10.938108213312573,3.9292895
3+ funding rounds,4594,0.14453635176316934,17999999.0,1.0,Funding maturity,14.453635176316935,17.999999
No funding-round record,18284,0.048840516298402976,0.0,1.0,Funding maturity,4.884051629840298,0.0
