feature,importance
founded_year,0.11587138119482458
milestones,0.02939857692247807
country_code,0.00914767932489451
relationships,0.008586320394849434
avg_participants,0.006192037616578739
founder_prior_company_links,0.004870786429383256
category_code,0.0046800629018948214
max_participants,0.0027399691718435816
founders_with_elite_school,0.0012006165631275989
founder_count,0.0007838198888317826
observed_funding_span,0.0007771435689039486
funding_total_usd,0.0007399006648294293
median_round_usd,0.0005603126411010794
funding_span_years,0.0005214006570445351
funding_rounds,0.0004207949927600207
total_raised_rounds,0.0003494605072633217
observed_rounds,0.0002666417550251099
founders_with_phd,0.0002031170691453754
founder_degree_records,-0.0001964282933968553
founders_with_mba,-0.0003144471951048722
founders_with_degree,-0.00037870677440956515
