category_code,companies,exit_rate,median_funding_usd,median_founders
semiconductor,366,0.23770491803278687,13000000.0,0.0
security,459,0.15250544662309368,1500000.0,1.0
network_hosting,773,0.13583441138421734,0.0,1.0
messaging,217,0.10599078341013825,500000.0,1.0
enterprise,1995,0.10075187969924812,800000.0,1.0
software,6664,0.093937575030012,50000.0,1.0
biotech,2132,0.09333958724202626,4973344.0,0.0
public_relations,815,0.09202453987730061,0.0,1.0
hardware,1009,0.08523290386521308,1000000.0,0.0
advertising,2067,0.08466376390904692,0.0,1.0
mobile,3102,0.0789813023855577,15000.0,1.0
web,6402,0.07731958762886598,0.0,1.0
news,261,0.07662835249042145,100000.0,1.0
games_video,2149,0.07445323406235459,0.0,1.0
cleantech,749,0.07209612817089453,6000000.0,0.0
search,637,0.0706436420722135,0.0,1.0
travel,281,0.06405693950177936,100000.0,1.0
finance,519,0.05202312138728324,1000000.0,1.0
analytics,700,0.05,1375000.0,1.0
medical,458,0.043668122270742356,7280000.0,0.0
ecommerce,2997,0.04337671004337671,0.0,1.0
health,533,0.03377110694183865,679996.0,1.0
other,1979,0.032844871147043965,0.0,1.0
manufacturing,222,0.03153153153153153,2600520.0,0.0
social,725,0.030344827586206897,111365.0,1.0
fashion,249,0.028112449799196786,500000.0,1.0
consulting,929,0.02798708288482239,0.0,1.0
hospitality,251,0.027888446215139442,400000.0,1.0
education,819,0.02442002442002442,0.0,1.0
